ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
phunghieu/deepfake-detection-faces-part-0-0,Deepfake Detection - Faces - Part 0_0,4GB,2020-02-04 03:08:49,267,26,0.8235294
phunghieu/deepfake-detection-faces-part-3-0,Deepfake Detection - Faces - Part 3_0,5GB,2020-02-04 10:12:43,40,12,0.8235294
phunghieu/deepfake-detection-faces-part-0-1,Deepfake Detection - Faces - Part 0_1,4GB,2020-02-06 13:35:30,66,13,0.8235294
phunghieu/deepfake-detection-logistic-regression,Deepfake Detection - Logistic Regression,567B,2020-03-05 00:26:34,44,5,1.0
phunghieu/deepfake-detection-faces-part-2-0,Deepfake Detection - Faces - Part 2_0,5GB,2020-02-05 03:06:33,37,7,0.8235294
phunghieu/deepfake-detection-faces-part-1-0,Deepfake Detection - Faces - Part 1_0,5GB,2020-02-04 01:51:20,51,8,0.75
phunghieu/deepfake-detection-faces-part-2-2,Deepfake Detection - Faces - Part 2_2,5GB,2020-02-05 08:51:44,35,8,0.8235294
phunghieu/deepfake-detection-faces-part-13-3,Deepfake Detection - Faces - Part 13_3,4GB,2020-02-15 01:04:21,22,5,None
phunghieu/deepfake-detection-faces-part-4-0,Deepfake Detection - Faces - Part 4_0,4GB,2020-02-05 08:01:43,30,7,0.8235294
phunghieu/deepfake-detection-faces-part-4-1,Deepfake Detection - Faces - Part 4_1,4GB,2020-02-05 10:15:03,28,7,0.8235294
phunghieu/deepfake-detection-faces-part-1-1,Deepfake Detection - Faces - Part 1_1,5GB,2020-02-04 02:30:37,52,10,0.8235294
phunghieu/deepfake-detection-faces-sample,Deepfake Detection - Faces - Sample,3GB,2020-02-04 06:17:11,26,6,0.8235294
phunghieu/deepfake-detection-faces-part-12-1,Deepfake Detection - Faces - Part 12_1,5GB,2020-02-13 09:17:02,25,6,0.8235294
phunghieu/deepfake-detection-faces-part-5-2,Deepfake Detection - Faces - Part 5_2,5GB,2020-02-06 09:29:01,28,6,0.8235294
phunghieu/deepfake-detection-faces-part-14-3,Deepfake Detection - Faces - Part 14_3,4GB,2020-02-16 13:45:55,20,6,0.75
phunghieu/deepfake-detection-faces-part-15-2,Deepfake Detection - Faces - Part 15_2,5GB,2020-02-16 16:20:45,23,5,0.8235294
phunghieu/deepfake-detection-faces-part-10-0,Deepfake Detection - Faces - Part 10_0,4GB,2020-02-12 07:45:19,24,5,0.8235294
phunghieu/deepfake-detection-faces-part-11-1,Deepfake Detection - Faces - Part 11_1,5GB,2020-02-12 09:49:07,23,5,0.8235294
phunghieu/deepfake-detection-faces-part-7-1,Deepfake Detection - Faces - Part 7_1,5GB,2020-02-07 14:33:27,24,5,0.8235294
phunghieu/deepfake-detection-faces-part-2-1,Deepfake Detection - Faces - Part 2_1,5GB,2020-02-05 06:41:32,41,7,0.8235294
